Tract,Legal,Gross ac,Identified NMA,Open/unreconciled NMA,Status
1,N/2 NE/4,80.00,80.00,0.00,Reconciled
2,SW/4 NE/4 + NW/4 SE/4 + S/2 SE/4,160.00,58.54,101.46,Reconciled
3,SE/4 NE/4,40.00,40.00,0.00,Open balance
4,E/2 NW/4,80.00,8.40,71.60,Open balance
5,SE/4 SW/4 + residual in Gov Lots 1 & 2,38.28,0.74,37.54,Open balance
6,S 51 ac of the W. 18.20-chain metes-and-bounds strip (W/2 NW/4 & N/2 NW/4 SW/4),51.00,2.20,48.80,Estate/heirship
7,NE/4 SW/4,40.00,3.15,36.85,Open balance
8,S 32.80 ac of the W. 18.20-chain metes-and-bounds strip,32.80,32.80,0.00,Estate/heirship
9,Gov Lot 4 + S/2 Gov Lot 3,75.34,75.34,0.00,Succession verify
10,NE/4 SE/4,40.00,0.99,39.01,Open balance
TOTAL,Section 31,637.42,302.16,335.26,
