Well_No,API,Well_Name,Operator_Last_Of_Record,Tract,Legal_Location,Formation,Status,First_Production,Last_Production,Producing_Month_Series,Cumulative_Mcf,Spacing_Pooling_Unitization,OCC_Order,Relation_To_Leases,Evidence_Supporting_HBP,Search_Through,Decision,Reason
1,35-009-00075,CORA GARRETT #C-310 / GARRETT #1,BP AMERICA PRODUCTION COMPANY (last of record),6,"SE/4 SE/4 SE/4; 330' E, 330' S",Not located in available records,PLUGGED (OCC RBDMS code PA),Not located in available records,None in OTC dataset,0,0,"OCC Order 156126 (Cause CD 59995, 1979-08-06) pools listed formations under all of Section 32; OCC Orders 147147/145162 unitize all of Section 32 for the Morrow-Springer interval 16,210-20,451 ft",Not located in available records,Tract 6 / OGL 1 (63/33) area — historic Garrett wellbore,NO CURRENT HBP EFFECT. Plugged.,"NO live OCC query this session (egress 403). New wells, permits, transfers of operator, plugging records, spacing/pooling orders and Form 1073 changes recorded after the 2026-07-09 RBDMS snapshot are UNSEARCHED through 08/05/2026.",APPLY,"Correctly shown as plugged with no HBP effect. Material point: Tract 6 (OGL 1, 63/33) has NO producing well of its own, so OGL 1's HBP depends entirely on section-wide pooled production from other tracts."
2,35-009-20312,CROOK #1-32,COMPLETE OIL & GAS SERVICES LLC (last of record),1,C W/2 NE/4,Granite Wash Lower,GAS — RBDMS status fields conflict AC/DRY (conflict preserved); plugged per project records,02/26/1981,production ceased 2010-09 where supported,Not in OTC series,Not in OTC series,"OCC Order 156126 (Cause CD 59995, 1979-08-06) pools listed formations under all of Section 32; OCC Orders 147147/145162 unitize all of Section 32 for the Morrow-Springer interval 16,210-20,451 ft",156126 (CD 59995),Tract 1 / OGL 3 (332/74-75) — completed inside the Viersen primary term on covered land,Bridged the 1977-program primary term. No production after 2010-09. NO CURRENT HBP EFFECT. standing alone.,"NO live OCC query this session (egress 403). New wells, permits, transfers of operator, plugging records, spacing/pooling orders and Form 1073 changes recorded after the 2026-07-09 RBDMS snapshot are UNSEARCHED through 08/05/2026.",CURATIVE_REQUIRED,RBDMS status fields conflict (AC vs DRY) and the conflict is preserved unresolved. Requires an OCC completion/plugging record review to settle. Does not change the section HBP conclusion because JGL and Hanks Crook carry it.
3,35-009-20605,PEARL #1-32 (LEEDE-PEARL #1-32),SM ENERGY COMPANY (last of record),1,E/2 W/2 NE/4,"11,100 ft to 19,480 ft per the reviewed depth recital; 19,480 ft recited as total depth drilled",PLUGGED (OCC RBDMS code PA),Not located in available records,None in OTC dataset,0,0,"OCC Order 156126 (Cause CD 59995, 1979-08-06) pools listed formations under all of Section 32; OCC Orders 147147/145162 unitize all of Section 32 for the Morrow-Springer interval 16,210-20,451 ft",156126 (CD 59995),"Tract 1 — Pearl wellbore carve at 1349/34 (11,100-19,480 ft)",NO CURRENT HBP EFFECT. Plugged.,"NO live OCC query this session (egress 403). New wells, permits, transfers of operator, plugging records, spacing/pooling orders and Form 1073 changes recorded after the 2026-07-09 RBDMS snapshot are UNSEARCHED through 08/05/2026.",APPLY,"Depth recital face-supported (corpus images 4118, 4388). Correctly carried with no HBP effect. The 1349/34 wellbore carve is the depth-severance anchor for the leasehold family and should stay visible on WI 2."
4,35-009-20738,LEGRAND #1-32 (1978-era; distinct API from 35-009-21236),LEEDE OIL & GAS INC (last of record),3,"NW/4 SE/4 NW/4; 1,900' W, 1,220' S",Not located in available records,PLUGGED (OCC RBDMS code PA) — DRY,Dry hole,None,0,0,"OCC Order 156126 (Cause CD 59995, 1979-08-06) pools listed formations under all of Section 32; OCC Orders 147147/145162 unitize all of Section 32 for the Morrow-Springer interval 16,210-20,451 ft",Not located in available records,Tract 3 — the covered-land test well cited in the 1977-program expiration analyses,NO CURRENT HBP EFFECT. Dry hole.,"NO live OCC query this session (egress 403). New wells, permits, transfers of operator, plugging records, spacing/pooling orders and Form 1073 changes recorded after the 2026-07-09 RBDMS snapshot are UNSEARCHED through 08/05/2026.",APPLY,"Correct. Critical that this API stays distinguished from 35-009-21236 (the producing LeGrand #1-32 on Tract 5); conflating them would manufacture HBP for Tract 3, which has no producing well."
5,35-009-21072,JGL #1-32,BCE-MACH II LLC,1,"SW/4 NW/4 SW/4 NE/4; 240' W, 740' S",Not located in available records,Active (OCC RBDMS code AC) as at 2026-07-09,08/01/1997,2022-08,1998-03 through 2022-08; 243 producing months,"1,574,250","OCC Order 156126 (Cause CD 59995, 1979-08-06) pools listed formations under all of Section 32; OCC Orders 147147/145162 unitize all of Section 32 for the Morrow-Springer interval 16,210-20,451 ft",156126 (CD 59995),Tract 1 / OGL 2 (264/345) and OGL 3 (332/74-75); pooled formations section-wide,"SUPPORTS HBP THROUGH 2022-08 ONLY. The OTC series terminates 2022-08 for every well in the section — that is the dataset reporting cutoff, not proof that production stopped, and equally not proof it continued. 47 months to the 08/05/2026 effective date are unevidenced.","NO live OCC query this session (egress 403). New wells, permits, transfers of operator, plugging records, spacing/pooling orders and Form 1073 changes recorded after the 2026-07-09 RBDMS snapshot are UNSEARCHED through 08/05/2026.",CURATIVE_REQUIRED,"One of the two anchors of the whole report's HBP position. SUPPORTS HBP THROUGH 2022-08 ONLY. The OTC series terminates 2022-08 for every well in the section — that is the dataset reporting cutoff, not proof that production stopped, and equally not proof it continued. 47 months to the 08/05/2026 effective date are unevidenced. A current OTC/OCC production pull is the single highest-value curative item in this packet."
6,35-009-21085,HANKS CROOK #1-32,BCE-MACH II LLC,1,C S/2 NE/4,Not located in available records,Active (OCC RBDMS code AC) as at 2026-07-09,11/17/1997,2022-08,1998-02 through 2022-08; 166 producing months,"5,207,669","OCC Order 156126 (Cause CD 59995, 1979-08-06) pools listed formations under all of Section 32; OCC Orders 147147/145162 unitize all of Section 32 for the Morrow-Springer interval 16,210-20,451 ft",156126 (CD 59995),Tract 1 / OGL 2 (264/345) and OGL 3 (332/74-75); pooled formations section-wide,"SUPPORTS HBP THROUGH 2022-08 ONLY. The OTC series terminates 2022-08 for every well in the section — that is the dataset reporting cutoff, not proof that production stopped, and equally not proof it continued. 47 months to the 08/05/2026 effective date are unevidenced.","NO live OCC query this session (egress 403). New wells, permits, transfers of operator, plugging records, spacing/pooling orders and Form 1073 changes recorded after the 2026-07-09 RBDMS snapshot are UNSEARCHED through 08/05/2026.",CURATIVE_REQUIRED,"Largest cumulative producer in the section (5.2 Bcf) and the primary HBP support for the NE/4 lease family and, through Order 156126 pooling, for the section-wide leases including OGL 1 on Tract 6. SUPPORTS HBP THROUGH 2022-08 ONLY. The OTC series terminates 2022-08 for every well in the section — that is the dataset reporting cutoff, not proof that production stopped, and equally not proof it continued. 47 months to the 08/05/2026 effective date are unevidenced."
7,35-009-21166,CROOK-LEGRAND #1-32,VASTAR RESOURCES INC (last of record),7,S/2 N/2 N/2 SE/4,NT (no test / not typed),PLUGGED (OCC RBDMS code PA),Not located in available records,None in OTC dataset,0,0,"OCC Order 156126 (Cause CD 59995, 1979-08-06) pools listed formations under all of Section 32; OCC Orders 147147/145162 unitize all of Section 32 for the Morrow-Springer interval 16,210-20,451 ft",Not located in available records,Tract 7 — W/2 SE/4,NO CURRENT HBP EFFECT. Plugged.,"NO live OCC query this session (egress 403). New wells, permits, transfers of operator, plugging records, spacing/pooling orders and Form 1073 changes recorded after the 2026-07-09 RBDMS snapshot are UNSEARCHED through 08/05/2026.",APPLY,"Correct. Tract 7 therefore has NO producing well; all three Tract 7 Title rows show 'None active / Unresolved', which is consistent."
8,35-009-21236,LEGRAND #1-32,BCE-MACH II LLC,5,"NW/4 NE/4 SE/4 SW/4; 2,200' W, 1,150' S",Not located in available records,Active (OCC RBDMS code AC) as at 2026-07-09,03/14/2002,2022-08,2002-03 through 2022-08; 121 producing months,"1,916,511","OCC Order 156126 (Cause CD 59995, 1979-08-06) pools listed formations under all of Section 32; OCC Orders 147147/145162 unitize all of Section 32 for the Morrow-Springer interval 16,210-20,451 ft",156126 (CD 59995),Tract 5 — MAINTAINING LEASE IS AN OPEN ITEM (63/34 excluded as terminated of record),"SUPPORTS HBP THROUGH 2022-08 ONLY. The OTC series terminates 2022-08 for every well in the section — that is the dataset reporting cutoff, not proof that production stopped, and equally not proof it continued. 47 months to the 08/05/2026 effective date are unevidenced. But the lease it maintains is unidentified.","NO live OCC query this session (egress 403). New wells, permits, transfers of operator, plugging records, spacing/pooling orders and Form 1073 changes recorded after the 2026-07-09 RBDMS snapshot are UNSEARCHED through 08/05/2026.",CURATIVE_REQUIRED,"Producing well on Tract 5 whose maintaining leasehold is expressly unresolved: 63/34 was excluded as terminated of record and no replacement lease is identified. Meanwhile all three Tract 5 Title rows show 'None active'. A well producing 1.9 Bcf under no identified lease is a material unresolved issue, not a clerical gap."
9,35-009-21245,KATIE #1-32,BP AMERICA PRODUCTION COMPANY (last of record),3,N/2 N/2 S/2 NW/4,NT (no test / not typed),Expired location (OCC RBDMS code EX),Not located in available records,None in OTC dataset,0,0,"OCC Order 156126 (Cause CD 59995, 1979-08-06) pools listed formations under all of Section 32; OCC Orders 147147/145162 unitize all of Section 32 for the Morrow-Springer interval 16,210-20,451 ft",Not located in available records,Tract 3 — S/2 NW/4,NO CURRENT HBP EFFECT. Expired location.,"NO live OCC query this session (egress 403). New wells, permits, transfers of operator, plugging records, spacing/pooling orders and Form 1073 changes recorded after the 2026-07-09 RBDMS snapshot are UNSEARCHED through 08/05/2026.",APPLY,Correct. Tract 3 has no producing well; consistent with all seven Tract 3 Title rows showing 'None / None active'.
10,35-009-21258,LEGRAND #2-32,BCE-MACH II LLC,5,"N/2 N/2 S/2 NW/4 (RBDMS legal as reported); 1,320' W, 1,070' S — CONFLICT: RBDMS quarter-call places it in Tract 3, lease lands and footages place it in Tract 5",Not located in available records,Active (OCC RBDMS code AC) as at 2026-07-09,09/13/2002,2022-08,2002-09 through 2022-08; 96 producing months,"1,155,176","OCC Order 156126 (Cause CD 59995, 1979-08-06) pools listed formations under all of Section 32; OCC Orders 147147/145162 unitize all of Section 32 for the Morrow-Springer interval 16,210-20,451 ft",156126 (CD 59995),Tract 5 per LeGrand lease lands; same unresolved maintaining lease as LeGrand #1-32,"SUPPORTS HBP THROUGH 2022-08 ONLY. The OTC series terminates 2022-08 for every well in the section — that is the dataset reporting cutoff, not proof that production stopped, and equally not proof it continued. 47 months to the 08/05/2026 effective date are unevidenced. Tract assignment itself is conflicted.","NO live OCC query this session (egress 403). New wells, permits, transfers of operator, plugging records, spacing/pooling orders and Form 1073 changes recorded after the 2026-07-09 RBDMS snapshot are UNSEARCHED through 08/05/2026.",CURATIVE_REQUIRED,Two defects: (a) the RBDMS surface legal conflicts with the tract assignment and the conflict is carried unresolved onto both PLAT and Well 1; (b) same unidentified maintaining lease as well 8. Requires the OCC well record and completion report to settle the location.
