Priority,Tract,Owner/party,Gap type,Problem,Document/action needed,Exact search parameters,Where to search,Impact,Status,Recommended note
1-HIGH,All (section),Operator / all lessors,HBP not established,OCC RBDMS shows Alexander #1-31 ACTIVE (oil); client says INACTIVE; OTC gross production never pulled.,OTC PUN/gross-production history for API 35-129-22925; resolve active/inactive conflict,OTC: API 35-129-22925 / 'Alexander 1-31'; OCC well file; field check,Oklahoma Tax Commission Gross Production (PUN); OCC imaged docs,Determines whether prior leases are HBP and whether Silver Oak top leases spring to life — drives entire leasehold value,OPEN,Possible HBP - Needs Confirmation; do not represent section as HBP until OTC production confirmed
2-HIGH,"1,3,4,6,7",Mitchell/Sorenson/Dold,Lease terms unverified at full text,Only page-1 images abstracted for the 6 Silver Oak top leases; depth/pooling/shut-in clauses not confirmed; 2004 prior leases (Bk 1736) not imaged.,"Full lease images: 2693/0337, 2693/0345, 2693/0349, 2697/0520, 2697/0524, 2702/0505 and prior Bk 1736 leases",Roger Mills Bk/Pg as listed; grantor names; 'R. Michael Lortz' / 'N/G Discovery' 2004,OKCountyRecords (Roger Mills),"Confirms expiration math, depth limits, pooling/shut-in that affect HBP and top-lease springing",OPEN,Expirations are page-1-image based; flag medium confidence until full images reviewed
3-HIGH,"1,2,3,4,7,8",Bain & Mitchell families,NMA allocation is ESTIMATED,Net mineral acres for most tracts are reconstructed from assumed Bain/Mitchell/Sorenson family trees; no probate/heirship in record set.,"Probate, affidavits of heirship, estate/trust instruments for Mitchell, Nancy Mitchell estate, Marvin Mitchell Williams estate, Sorenson trust, Bain branches",Decedent names + 'Roger Mills' probate; OK district court; heirship affidavits in county records,Roger Mills County Clerk / District Court; OKCountyRecords,"Without probate/heirship the per-owner NMA is an estimate, not record title",OPEN,All non-Dold NMA marked ESTIMATE (Low/Low-Medium) pending heirship
4-HIGH,1,Panhandle Royalty Company,Unsupported 40 NMA insertion,Reconciled Tracker assigns Panhandle Royalty 40 NMA in Tract 1 as 'unleased/historic'; not present on Title sheet or sourced.,Source the Panhandle Royalty interest (deed/assignment) or remove the estimate,'Panhandle Royalty' / 'Panhandle Oil & Gas' party search; 31-12N-24W,OKCountyRecords; Panhandle Oil & Gas public filings,40 NMA is ~half of Tract 1; materially affects Tract 1 allocation,OPEN,Hold Panhandle 40 NMA as LOW confidence until a conveyance is found
5-HIGH,(unassigned),Unknown,NE/4 SW/4 unassigned,PLAT flags NE/4 SW/4 (40 ac) as NOT in any subject tract; ownership/leasehold unknown.,Determine ownership & tract allocation of NE/4 SW/4 (may fall in government lots),NE/4 SW/4 31-12N-24W; runsheet legal-description search,Runsheet sheet; recorded plat/survey; OKCountyRecords,40 NMA of the 640-ac section is currently unaccounted for,OPEN,Carry as UNKNOWN/UNCONFIRMED OWNER bucket (40 NMA)
6-MED,"2,8",EDR / Okki / Del Monte / Cardinal,Mineral-deed fractions unknown,Exact fraction/net acres for EDR-successor mineral deeds not in the numerical index.,"Full mineral deeds 2625/0231, 2625/0233, 2481/0287","Bk/Pg as listed; grantors EDR LLC, Greystone Energy & Minerals",OKCountyRecords (Roger Mills),Determines EDR-successor NMA in Tracts 2 & 8 (currently estimated),OPEN,Okki/Del Monte/Cardinal NMA are estimates
7-MED,"4,5",Vignal / Kirk / Colt-Roca / Dustin Deal,Deeds need full images,Quit-claim and mineral deeds in NW/4 chain need full text for quantum.,"Full deeds 2426/0154, 2406/0228, 2365/0338","Bk/Pg as listed; grantors Colt Development/Roca, Cindy Lou Vignal, Ella Pearl Kirk",OKCountyRecords (Roger Mills),Confirms Tract 4/5 mineral quantum,OPEN,Tract 4/5 NMA estimated
8-MED,"2,4,5,WI",Lucas / Bryant / Fairway / Samson-Geodyne,Mortgage/release matching,Several mortgages have no matched release; collateral/release scope open.,"Match releases to mortgages: 2541/0100 & 2488/0370 (Lucas); 2379/0142, 2511/0016, 2511/0018 (Bryant); 2357/0001 (Fairway/JPMorgan); 2356/0001, 2356/0200 (Samson/Geodyne)",Bk/Pg pairs as listed; mortgagor names,OKCountyRecords (Roger Mills),Open mortgages can cloud marketability of affected interests,OPEN,Mark affected interests 'release needed'
9-MED,"5,6,8",(surveyor/plat),Irregular lot acreage,Section 31 is a township-boundary section; W & S tier government lots are not true 40s. Tract 5/6/8 acreage nominal.,Recorded plat/survey to fix Lots 1 & 4 and SE/4 SW/4 acreage,Section 31 T12N R24W plat; BLM/GLO survey & field notes,BLM GLO Records (glorecords.blm.gov); county plat,Tract 5/6/8 gross acres (and therefore NMA) depend on true lot acreage,OPEN,Tract 5 acreage VERIFY; Tracts 6/8 nominal
10-MED,WI,Lalexander 1-31 chain,WI/NRI not quantified,"Wellbore assignment chain (Cheyenne/Templar, Tabally/Dominguez, Geodyne/Samson/Fairway) not fully imaged.","Full assignment images 2385/0072, 2455/0446, 2698/0069",Bk/Pg as listed; 'Lalexander 1-31' / 'Alexander 1-31',OKCountyRecords; OCC well file,Working interest / NRI in the wellbore not quantified,OPEN,WI rows remain TBD
